"Division","Pool","Rank","Team","Games","Wins","Losses","GoalsFor","GoalsAgainst","GoalsDiff"
"U20","Finale 9-10","1","Cologne Colibris","1","1","0","10","8","2"
"U20","Finale 9-10","2","Pizza Volante","1","0","1","8","10","-2"
"U17","Pool A","1","UFO","4","4","0","48","15","33"
"U17","Pool A","2","Pizza Volante","4","3","1","37","23","14"
"U17","Pool A","3","TV Südkamen","4","2","2","31","24","7"
"U17","Pool A","4","Piratos","4","1","3","22","40","-18"
"U17","Pool A","5","Münchner Kindl","4","0","4","9","45","-36"
"U17","Pool B","1","Lions","4","4","0","43","33","10"
"U17","Pool B","2","Cologne Colibris","4","3","1","45","32","13"
"U17","Pool B","3","Äitschbees","4","2","2","42","33","9"
"U17","Pool B","4","Disckick","4","1","3","33","40","-7"
"U17","Pool B","5","Kirchheim Ultimate Juniors","4","0","4","20","45","-25"
"U17","Crossover","1","Pizza Volante","1","1","0","10","8","2"
"U17","Crossover","2","Äitschbees","1","0","1","8","10","-2"
"U17","Crossover","3","TV Südkamen","1","1","0","6","5","1"
"U17","Crossover","4","Cologne Colibris","1","0","1","5","6","-1"
"U17","Crossover","5","Kirchheim Ultimate Juniors","1","1","0","10","3","7"
"U17","Crossover","6","Piratos","1","0","1","3","10","-7"
"U17","Crossover","7","Disckick","1","1","0","13","3","10"
"U17","Crossover","8","Münchner Kindl","1","0","1","3","13","-10"
"U17","Finale 1-4","1","UFO","1","1","0","12","6","6"
"U17","Finale 1-4","2","TV Südkamen","1","0","1","6","12","-6"
"U17","Finale 1-4","3","Pizza Volante","1","1","0","8","7","1"
"U17","Finale 1-4","4","Lions","1","0","1","7","8","-1"
"U17","Finale 5-8","1","Äitschbees","1","1","0","9","7","2"
"U17","Finale 5-8","2","Kirchheim Ultimate Juniors","1","0","1","7","9","-2"
"U17","Finale 5-8","3","Disckick","1","1","0","6","5","1"
"U17","Finale 5-8","4","Cologne Colibris","1","0","1","5","6","-1"
"U17","Finale 9-10","1","Piratos","1","1","0","6","5","1"
"U17","Finale 9-10","2","Münchner Kindl","1","0","1","5","6","-1"
"U14","Pool A","1","Äitschbees","7","7","0","63","13","50"
"U14","Pool A","2","Heppie Frisbeez","7","6","1","57","19","38"
"U14","Pool A","3","Pizza Volante","7","5","2","50","35","15"
"U14","Pool A","4","Disckick","7","3","4","41","43","-2"
"U14","Pool A","5","Juniorwolves","7","3","4","45","43","2"
"U14","Pool A","6","TV Verl","7","2","5","24","57","-33"
"U14","Pool A","7","Seans's Sheep","7","2","5","23","54","-31"
"U14","Pool A","8","MuH - Mir uss Haldawang","7","0","7","21","60","-39"
"Damen 1. Liga","Pool A","1","Mainzelmädchen","7","7","0","105","45","60"
"Damen 1. Liga","Pool A","2","Heidelbärchen","7","6","1","99","82","17"
"Damen 1. Liga","Pool A","3","JinX","7","5","2","92","68","24"
"Damen 1. Liga","Pool A","4","Woodchicas","7","3","4","93","75","18"
"Damen 1. Liga","Pool A","5","Seagulls","7","3","4","81","90","-9"
"Damen 1. Liga","Pool A","6","Black Foxx","7","3","4","77","95","-18"
"Damen 1. Liga","Pool A","7","Frankas","7","1","6","56","103","-47"
"Damen 1. Liga","Pool A","8","MarGie","7","0","7","57","102","-45"
"Damen 1. Liga","Playoffs 1-4","1","Mainzelmädchen","1","1","0","15","14","1"
"Damen 1. Liga","Playoffs 1-4","2","Woodchicas","1","0","1","14","15","-1"
"Damen 1. Liga","Playoffs 1-4","3","Heidelbärchen","1","1","0","15","10","5"
"Damen 1. Liga","Playoffs 1-4","4","JinX","1","0","1","10","15","-5"
"Damen 1. Liga","Round Robin 5-8","1","Seagulls","6","6","0","81","56","25"
"Damen 1. Liga","Round Robin 5-8","2","Frankas","6","3","3","77","75","2"
"Damen 1. Liga","Round Robin 5-8","3","Black Foxx","6","3","3","65","73","-8"
"Damen 1. Liga","Round Robin 5-8","4","MarGie","6","0","6","63","82","-19"
"Damen 2. Liga Nord","Pool A","1","M-Pfau","8","7","1","115","48","67"
"Damen 2. Liga Nord","Pool A","2","U de Cologne","8","7","1","103","55","48"
"Damen 2. Liga Nord","Pool A","3","Saxy Berries","8","6","2","102","68","34"
"Damen 2. Liga Nord","Pool A","4","Gulls2Sea","8","5","3","94","79","15"
"Damen 2. Liga Nord","Pool A","5","Hucks Ultimate Club Berlin","8","4","4","95","83","12"
"Damen 2. Liga Nord","Pool A","6","Bonobos ","8","4","4","104","68","36"
"Damen 2. Liga Nord","Pool A","7","DAX","8","2","6","60","92","-32"
"Damen 2. Liga Nord","Pool A","8","Goldfingers PotsDamen","8","1","7","41","101","-60"
"Damen 2. Liga Nord","Pool A","9","Nullacht! Ultimate","8","0","8","0","120","-120"
"Damen 2. Liga Nord","Finale","1","M-Pfau","1","1","0","15","8","7"
"Damen 2. Liga Nord","Finale","2","U de Cologne","1","0","1","8","15","-7"
"Damen 2. Liga Süd","Pool A","1","GoHo Girls","5","5","0","74","27","47"
"Damen 2. Liga Süd","Pool A","2","Frau Rauscher","5","4","1","68","31","37"
"Damen 2. Liga Süd","Pool A","3","Chicyrria","5","3","2","66","40","26"
"Damen 2. Liga Süd","Pool A","4","Paradisca Jena","5","2","3","53","43","10"
"Damen 2. Liga Süd","Pool A","5","Bad Chicks","5","0","5","0","60","-60"
"Damen 2. Liga Süd","Pool A","5","Mainz Ludendi","5","0","5","0","60","-60"
"Damen 2. Liga Süd","Rückrunde","1","GoHo Girls","10","10","0","149","51","98"
"Damen 2. Liga Süd","Rückrunde","2","Frau Rauscher","10","7","3","140","68","72"
"Damen 2. Liga Süd","Rückrunde","3","Chicyrria","10","7","3","135","78","57"
"Damen 2. Liga Süd","Rückrunde","4","Paradisca Jena","10","4","6","101","88","13"
"Damen 2. Liga Süd","Rückrunde","5","Bad Chicks","10","0","10","0","120","-120"
"Damen 2. Liga Süd","Rückrunde","5","Mainz Ludendi","10","0","10","0","120","-120"
"Open 1. Liga","Vorrunde A","1","Bad Skid","7","7","0","105","55","50"
"Open 1. Liga","Vorrunde A","2","Heidees","7","5","2","92","92","0"
"Open 1. Liga","Vorrunde A","3"," Frizzly Bears","7","4","3","89","86","3"
"Open 1. Liga","Vorrunde A","4","BORA","7","4","3","93","86","7"
"Open 1. Liga","Vorrunde A","5","Hässliche Erdferkel","7","4","3","93","89","4"
"Open 1. Liga","Vorrunde A","6","Frank N.","7","3","4","87","92","-5"
"Open 1. Liga","Vorrunde A","7","Hucks Ultimate Berlin","7","1","6","72","104","-32"
"Open 1. Liga","Vorrunde A","8","Kiel2","7","0","7","78","105","-27"
"Open 1. Liga","Vorrunde B","1","Wall City","7","7","0","105","79","26"
"Open 1. Liga","Vorrunde B","2","7Schwaben","7","6","1","103","71","32"
"Open 1. Liga","Vorrunde B","3","M.U.C.","7","5","2","100","82","18"
"Open 1. Liga","Vorrunde B","4","Ars Ludendi","7","4","3","94","90","4"
"Open 1. Liga","Vorrunde B","5","Hardfisch","7","2","5","87","94","-7"
"Open 1. Liga","Vorrunde B","6","GeRey","7","2","5","83","94","-11"
"Open 1. Liga","Vorrunde B","7","Family Ultimate","7","2","5","82","97","-15"
"Open 1. Liga","Vorrunde B","8","Funatics","7","0","7","58","105","-47"
"Open 1. Liga","Top 8","1","Bad Skid","1","1","0","15","8","7"
"Open 1. Liga","Top 8","2","Ars Ludendi","1","0","1","8","15","-7"
"Open 1. Liga","Top 8","3","7Schwaben","1","1","0","15","9","6"
"Open 1. Liga","Top 8","4"," Frizzly Bears","1","0","1","9","15","-6"
"Open 1. Liga","Top 8","5","Wall City","1","1","0","15","14","1"
"Open 1. Liga","Top 8","6","BORA","1","0","1","14","15","-1"
"Open 1. Liga","Top 8","7","M.U.C.","1","1","0","15","11","4"
"Open 1. Liga","Top 8","8","Heidees","1","0","1","11","15","-4"
"Open 1. Liga","Top 8 Semifinals","1","Bad Skid","1","1","0","15","9","6"
"Open 1. Liga","Top 8 Semifinals","2","7Schwaben","1","0","1","9","15","-6"
"Open 1. Liga","Top 8 Semifinals","3","M.U.C.","1","1","0","15","10","5"
"Open 1. Liga","Top 8 Semifinals","4","Wall City","1","0","1","10","15","-5"
"Open 1. Liga","Top 8 Semifinals","5","Ars Ludendi","1","1","0","15","14","1"
"Open 1. Liga","Top 8 Semifinals","6"," Frizzly Bears","1","0","1","14","15","-1"
"Open 1. Liga","Top 8 Semifinals","7","Heidees","1","1","0","15","9","6"
"Open 1. Liga","Top 8 Semifinals","8","BORA","1","0","1","9","15","-6"
"Open 1. Liga","Top 8 Finals","1","Bad Skid","1","1","0","15","8","7"
"Open 1. Liga","Top 8 Finals","2","M.U.C.","1","0","1","8","15","-7"
"Open 1. Liga","Top 8 Finals","3","7Schwaben","1","1","0","15","14","1"
"Open 1. Liga","Top 8 Finals","4","Wall City","1","0","1","14","15","-1"
"Open 1. Liga","Top 8 Finals","5","Heidees","1","1","0","15","14","1"
"Open 1. Liga","Top 8 Finals","6","Ars Ludendi","1","0","1","14","15","-1"
"Open 1. Liga","Top 8 Finals","7"," Frizzly Bears","1","1","0","15","7","8"
"Open 1. Liga","Top 8 Finals","8","BORA","1","0","1","7","15","-8"
"Open 1. Liga","Zwischen C","1","Hässliche Erdferkel","3","3","0","45","32","13"
"Open 1. Liga","Zwischen C","2","GeRey","3","2","1","39","34","5"
"Open 1. Liga","Zwischen C","3","Funatics","3","1","2","36","42","-6"
"Open 1. Liga","Zwischen C","4","Hucks Ultimate Berlin","3","0","3","32","44","-12"
"Open 1. Liga","Zwischen D","1","Hardfisch","3","2","1","41","32","9"
"Open 1. Liga","Zwischen D","2","Frank N.","3","2","1","40","34","6"
"Open 1. Liga","Zwischen D","3","Kiel2","3","1","2","33","44","-11"
"Open 1. Liga","Zwischen D","4","Family Ultimate","3","1","2","37","41","-4"
"Open 1. Liga","Spiel um Platz 9","1","Hardfisch","1","1","0","15","12","3"
"Open 1. Liga","Spiel um Platz 9","2","Hässliche Erdferkel","1","0","1","12","15","-3"
"Open 1. Liga","Relegationsspiel (Platz 11)","1","GeRey","1","1","0","15","13","2"
"Open 1. Liga","Relegationsspiel (Platz 11)","2","Kiel2","1","0","1","13","15","-2"
"Open 1. Liga","Relegationsspiel (Platz 11)","3","Frank N.","1","1","0","15","3","12"
"Open 1. Liga","Relegationsspiel (Platz 11)","4","Funatics","1","0","1","3","15","-12"
"Open 1. Liga","Spiel um Platz 15","1","Hucks Ultimate Berlin","1","1","0","15","0","15"
"Open 1. Liga","Spiel um Platz 15","2","Family Ultimate","1","0","1","0","15","-15"
"Open 2. Liga Nord","Vorrunde A","1","Deine Mudder Bremen","7","7","0","102","72","30"
"Open 2. Liga Nord","Vorrunde A","2","Goldfingers","7","6","1","100","66","34"
"Open 2. Liga Nord","Vorrunde A","3","Drehst'n Deckel","7","5","2","95","72","23"
"Open 2. Liga Nord","Vorrunde A","4","Hard2Fisch","7","4","3","95","78","17"
"Open 2. Liga Nord","Vorrunde A","5","Caracals","7","3","4","89","89","0"
"Open 2. Liga Nord","Vorrunde A","6","Frühsport 0,2","7","2","5","63","94","-31"
"Open 2. Liga Nord","Vorrunde A","7","TeKielas","7","1","6","74","99","-25"
"Open 2. Liga Nord","Vorrunde A","8","Disckick","7","0","7","54","102","-48"
"Open 2. Liga Nord","Top 4","1","Goldfingers","6","5","1","85","69","16"
"Open 2. Liga Nord","Top 4","2","Deine Mudder Bremen","6","5","1","85","70","15"
"Open 2. Liga Nord","Top 4","3","Drehst'n Deckel","6","1","5","71","86","-15"
"Open 2. Liga Nord","Top 4","4","Hard2Fisch","6","1","5","69","85","-16"
"Open 2. Liga Nord","Bottom 4","1","Frühsport 0,2","6","5","1","80","68","12"
"Open 2. Liga Nord","Bottom 4","2","Caracals","6","4","2","85","62","23"
"Open 2. Liga Nord","Bottom 4","3","TeKielas","6","2","4","65","81","-16"
"Open 2. Liga Nord","Bottom 4","4","Disckick","6","1","5","65","84","-19"
"Open 2. Liga Süd","Vorrunde A","1","Bad Raps","7","7","0","105","71","34"
"Open 2. Liga Süd","Vorrunde A","2","Gummibärchen","7","6","1","99","60","39"
"Open 2. Liga Süd","Vorrunde A","3","Wolpertinger","7","4","3","100","77","23"
"Open 2. Liga Süd","Vorrunde A","4","Force Middle","7","3","4","85","89","-4"
"Open 2. Liga Süd","Vorrunde A","5","THW","7","3","4","80","87","-7"
"Open 2. Liga Süd","Vorrunde A","6","Feldrenner","7","2","5","64","98","-34"
"Open 2. Liga Süd","Vorrunde A","7","2MUCL","7","2","5","79","95","-16"
"Open 2. Liga Süd","Vorrunde A","8","7Schwaben II","7","1","6","69","104","-35"
"Open 2. Liga Süd","Top 4","1","Bad Raps","6","6","0","90","68","22"
"Open 2. Liga Süd","Top 4","2","Gummibärchen","6","4","2","81","69","12"
"Open 2. Liga Süd","Top 4","3","Wolpertinger","6","2","4","75","84","-9"
"Open 2. Liga Süd","Top 4","4","Force Middle","6","0","6","65","90","-25"
"Open 2. Liga Süd","Bottom 4","1","THW","6","6","0","86","55","31"
"Open 2. Liga Süd","Bottom 4","2","Feldrenner","6","3","3","80","77","3"
"Open 2. Liga Süd","Bottom 4","3","2MUCL","6","3","3","80","70","10"
"Open 2. Liga Süd","Bottom 4","4","7Schwaben II","6","0","6","46","90","-44"
"Open 3. Liga NW","Pool A","1","Bonnsai","4","4","0","60","28","32"
"Open 3. Liga NW","Pool A","2","DU bist Frisbee","4","3","1","55","40","15"
"Open 3. Liga NW","Pool A","3","Bonobos","4","2","2","56","33","23"
"Open 3. Liga NW","Pool A","4","Die 7 Todsünden","4","1","3","23","53","-30"
"Open 3. Liga NW","Pool A","5","Frisbielefeld","4","0","4","20","60","-40"
"Open 3. Liga NW","Finale","1","Bonnsai","1","1","0","15","9","6"
"Open 3. Liga NW","Finale","2","DU bist Frisbee","1","0","1","9","15","-6"
"Open 3. Liga NO","Pool A","1","Mad Squid","5","5","0","74","34","40"
"Open 3. Liga NO","Pool A","2","EazyEastKoast","5","4","1","68","43","25"
"Open 3. Liga NO","Pool A","3","DJ Dahlem","5","3","2","66","49","17"
"Open 3. Liga NO","Pool A","4","Mitteldeutscher Rundflug","5","2","3","58","57","1"
"Open 3. Liga NO","Pool A","5","MULe","5","1","4","52","60","-8"
"Open 3. Liga NO","Pool A","6","Schleudertrauma","5","0","5","0","75","-75"
"Open 3. Liga NO","Rückrunde","1","Mad Squid","10","10","0","149","57","92"
"Open 3. Liga NO","Rückrunde","2","EazyEastKoast","10","8","2","140","84","56"
"Open 3. Liga NO","Rückrunde","3","MULe","10","4","6","110","107","3"
"Open 3. Liga NO","Rückrunde","4","Mitteldeutscher Rundflug","10","4","6","114","110","4"
"Open 3. Liga NO","Rückrunde","5","DJ Dahlem","10","4","6","104","109","-5"
"Open 3. Liga NO","Rückrunde","6","Schleudertrauma","10","0","10","0","150","-150"
"Open 3. Liga Süd","Pool A","1","Paradisco","5","5","0","75","34","41"
"Open 3. Liga Süd","Pool A","2","Sturm und Drang","5","4","1","73","42","31"
"Open 3. Liga Süd","Pool A","3","Schwabing Frisbee Buam e.V.","5","3","2","60","60","0"
"Open 3. Liga Süd","Pool A","4","Spice Boyz","5","2","3","44","66","-22"
"Open 3. Liga Süd","Pool A","5","Wer(f)wölfle","5","1","4","49","72","-23"
"Open 3. Liga Süd","Pool A","6","FrankPauli","5","0","5","48","75","-27"
"Open 3. Liga Süd","Rückrunde","1","Sturm und Drang","10","9","1","146","72","74"
"Open 3. Liga Süd","Rückrunde","2","Paradisco","10","8","2","144","91","53"
"Open 3. Liga Süd","Rückrunde","3","Wer(f)wölfle","10","5","5","116","126","-10"
"Open 3. Liga Süd","Rückrunde","4","Schwabing Frisbee Buam e.V.","10","4","6","110","131","-21"
"Open 3. Liga Süd","Rückrunde","5","Spice Boyz","10","3","7","87","138","-51"
"Open 3. Liga Süd","Rückrunde","6","FrankPauli","10","1","9","97","142","-45"
"Mixed 1. Liga","Pool A","1","Sugar Mix","7","6","1","103","73","30"
"Mixed 1. Liga","Pool A","2","Colorado","7","6","1","102","65","37"
"Mixed 1. Liga","Pool A","3","Sturmflut","7","4","3","91","85","6"
"Mixed 1. Liga","Pool A","4","Die 7 Todsünden","7","4","3","99","83","16"
"Mixed 1. Liga","Pool A","5","Tiefseetaucher","7","3","4","83","96","-13"
"Mixed 1. Liga","Pool A","6","Disckick","7","3","4","79","97","-18"
"Mixed 1. Liga","Pool A","7","ULMtimates","7","2","5","82","97","-15"
"Mixed 1. Liga","Pool A","8","Disc-o-Fever","7","0","7","62","105","-43"
"Mixed 1. Liga","Pool B","1","Ars Ludendi","7","6","1","103","75","28"
"Mixed 1. Liga","Pool B","2","Hässliche Erdferkel","7","5","2","98","81","17"
"Mixed 1. Liga","Pool B","3","Disconnection","7","5","2","97","83","14"
"Mixed 1. Liga","Pool B","4","Mainzelrenner","7","5","2","96","79","17"
"Mixed 1. Liga","Pool B","5","Deine Mudder","7","3","4","86","91","-5"
"Mixed 1. Liga","Pool B","6","Frau Rauscher & the Bembelboys","7","2","5","75","96","-21"
"Mixed 1. Liga","Pool B","7","Maultaschen","7","2","5","84","92","-8"
"Mixed 1. Liga","Pool B","8","Zamperl","7","0","7","63","105","-42"
"Mixed 1. Liga","Playoffs 1-8","1","Sugar Mix","1","0","1","12","15","-3"
"Mixed 1. Liga","Playoffs 1-8","1","Mainzelrenner","1","1","0","15","12","3"
"Mixed 1. Liga","Playoffs 1-8","3","Hässliche Erdferkel","1","1","0","15","13","2"
"Mixed 1. Liga","Playoffs 1-8","4","Sturmflut","1","0","1","13","15","-2"
"Mixed 1. Liga","Playoffs 1-8","5","Ars Ludendi","1","1","0","13","9","4"
"Mixed 1. Liga","Playoffs 1-8","6","Die 7 Todsünden","1","0","1","9","13","-4"
"Mixed 1. Liga","Playoffs 1-8","7","Colorado","1","1","0","15","10","5"
"Mixed 1. Liga","Playoffs 1-8","8","Disconnection","1","0","1","10","15","-5"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","1","Mainzelrenner","1","1","0","15","12","3"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","2","Hässliche Erdferkel","1","0","1","12","15","-3"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","3","Colorado","1","1","0","15","14","1"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","4","Ars Ludendi","1","0","1","14","15","-1"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","5","Sugar Mix","1","1","0","15","10","5"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","6","Sturmflut","1","0","1","10","15","-5"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","7","Disconnection","1","1","0","15","8","7"
"Mixed 1. Liga","Playoffs 1-8 Semifinals","8","Die 7 Todsünden","1","0","1","8","15","-7"
"Mixed 1. Liga","Playoffs 1-8 Finals","1","Colorado","1","1","0","15","14","1"
"Mixed 1. Liga","Playoffs 1-8 Finals","2","Mainzelrenner","1","0","1","14","15","-1"
"Mixed 1. Liga","Playoffs 1-8 Finals","3","Ars Ludendi","1","1","0","15","10","5"
"Mixed 1. Liga","Playoffs 1-8 Finals","4","Hässliche Erdferkel","1","0","1","10","15","-5"
"Mixed 1. Liga","Playoffs 1-8 Finals","5","Disconnection","1","1","0","15","8","7"
"Mixed 1. Liga","Playoffs 1-8 Finals","6","Sugar Mix","1","0","1","8","15","-7"
"Mixed 1. Liga","Playoffs 1-8 Finals","7","Die 7 Todsünden","1","1","0","14","9","5"
"Mixed 1. Liga","Playoffs 1-8 Finals","8","Sturmflut","1","0","1","9","14","-5"
"Mixed 1. Liga","Pool C","1","Frau Rauscher & the Bembelboys","3","2","1","42","38","4"
"Mixed 1. Liga","Pool C","2","Zamperl","3","2","1","40","36","4"
"Mixed 1. Liga","Pool C","3","ULMtimates","3","2","1","39","37","2"
"Mixed 1. Liga","Pool C","4","Tiefseetaucher","3","0","3","35","45","-10"
"Mixed 1. Liga","Pool D","1","Disckick","3","2","1","40","36","4"
"Mixed 1. Liga","Pool D","2","Maultaschen","3","2","1","41","32","9"
"Mixed 1. Liga","Pool D","3","Deine Mudder","3","2","1","39","39","0"
"Mixed 1. Liga","Pool D","4","Disc-o-Fever","3","0","3","32","45","-13"
"Mixed 1. Liga","Spiel um Platz 9","1","Frau Rauscher & the Bembelboys","1","1","0","14","12","2"
"Mixed 1. Liga","Spiel um Platz 9","2","Disckick","1","0","1","12","14","-2"
"Mixed 1. Liga","Relegationsspiele (11-14)","1","Deine Mudder","1","1","0","13","7","6"
"Mixed 1. Liga","Relegationsspiele (11-14)","2","Zamperl","1","0","1","7","13","-6"
