"Division","Pool","Rank","Team","Games","Wins","Losses","GoalsFor","GoalsAgainst","GoalsDiff"
"Open Beach","Pool A","1","Disckick","3","3","0","35","13","22"
"Open Beach","Pool A","2","Hardfisch","3","2","1","28","22","6"
"Open Beach","Pool A","3","Cultimaters","3","1","2","20","31","-11"
"Open Beach","Pool A","4","Berliner Plauze","3","0","3","18","35","-17"
"Open Beach","Pool B","1","Goldfingers","3","2","1","34","21","13"
"Open Beach","Pool B","2","Drehst'n Deckel","3","2","1","30","24","6"
"Open Beach","Pool B","3","Hucks Ultimate Club Berlin","3","2","1","23","28","-5"
"Open Beach","Pool B","4","Ars Ludendi","3","0","3","18","32","-14"
"Open Beach","Finale 1-4","1","Disckick","1","1","0","13","5","8"
"Open Beach","Finale 1-4","2","Drehst'n Deckel","1","0","1","5","13","-8"
"Open Beach","Finale 1-4","3","Hardfisch","1","1","0","11","9","2"
"Open Beach","Finale 1-4","4","Goldfingers","1","0","1","9","11","-2"
"Open Beach","RR 5-8","1","Hucks Ultimate Club Berlin","3","3","0","30","24","6"
"Open Beach","RR 5-8","2","Ars Ludendi","3","1","2","27","28","-1"
"Open Beach","RR 5-8","3","Cultimaters","3","1","2","27","29","-2"
"Open Beach","RR 5-8","4","Berliner Plauze","3","1","2","26","29","-3"
"Damen Beach","Pool A","1","jinX","2","2","0","25","5","20"
"Damen Beach","Pool A","2","Goldfingers PotsDamen","2","1","1","7","15","-8"
"Damen Beach","Pool A","3","Hucks Ultimate Club Berlin","2","0","2","5","17","-12"
"Damen Beach","Rückrunde","1","jinX","4","4","0","48","19","29"
"Damen Beach","Rückrunde","2","Hucks Ultimate Club Berlin","4","1","3","20","32","-12"
"Damen Beach","Rückrunde","3","Goldfingers PotsDamen","4","1","3","20","37","-17"
"Mixed 1. Liga Beach","Pool A","1","DARKROOM Foodplay","3","3","0","39","11","28"
"Mixed 1. Liga Beach","Pool A","2","Mainzelrenner","3","2","1","28","24","4"
"Mixed 1. Liga Beach","Pool A","3","Frau Rauscher & The Bembelboys","3","1","2","23","29","-6"
"Mixed 1. Liga Beach","Pool A","4","Red Eagles","3","0","3","13","39","-26"
"Mixed 1. Liga Beach","Pool B","1","Frizzly Bears","3","3","0","39","14","25"
"Mixed 1. Liga Beach","Pool B","2","Hund Flach Werfen","3","2","1","33","32","1"
"Mixed 1. Liga Beach","Pool B","3","Endzonis","3","1","2","24","32","-8"
"Mixed 1. Liga Beach","Pool B","4","Griffins Lehre","3","0","3","20","38","-18"
"Mixed 1. Liga Beach","Finale 1-4","1","DARKROOM Foodplay","1","1","0","13","6","7"
"Mixed 1. Liga Beach","Finale 1-4","2","Hund Flach Werfen","1","0","1","6","13","-7"
"Mixed 1. Liga Beach","Finale 1-4","3","Frizzly Bears","1","1","0","12","5","7"
"Mixed 1. Liga Beach","Finale 1-4","4","Mainzelrenner","1","0","1","5","12","-7"
"Mixed 1. Liga Beach","Round Robin 5-8","1","Frau Rauscher & The Bembelboys","3","3","0","35","19","16"
"Mixed 1. Liga Beach","Round Robin 5-8","2","Endzonis","3","2","1","35","23","12"
"Mixed 1. Liga Beach","Round Robin 5-8","3","Griffins Lehre","3","1","2","22","32","-10"
"Mixed 1. Liga Beach","Round Robin 5-8","4","Red Eagles","3","0","3","20","38","-18"
"Mixed 2. Liga Beach","Pool A","1","Göttinger 7","3","3","0","37","22","15"
"Mixed 2. Liga Beach","Pool A","2","Sturmflut Hamburg","3","2","1","34","26","8"
"Mixed 2. Liga Beach","Pool A","3","Torpedo Phoenix","3","1","2","24","32","-8"
"Mixed 2. Liga Beach","Pool A","4","Rotor Ultimate Berlin","3","0","3","21","36","-15"
"Mixed 2. Liga Beach","Pool B","1","Hallunken","3","3","0","35","26","9"
"Mixed 2. Liga Beach","Pool B","2","Monaco","3","2","1","27","28","-1"
"Mixed 2. Liga Beach","Pool B","3","Saxy Divers","3","1","2","33","32","1"
"Mixed 2. Liga Beach","Pool B","4","Drehst'n Deckel","3","0","3","24","33","-9"
"Mixed 2. Liga Beach","Round Robin 1-4","1","Göttinger 7","3","2","1","36","24","12"
"Mixed 2. Liga Beach","Round Robin 1-4","2","Sturmflut Hamburg","3","2","1","30","29","1"
"Mixed 2. Liga Beach","Round Robin 1-4","3","Hallunken","3","2","1","31","27","4"
"Mixed 2. Liga Beach","Round Robin 1-4","4","Monaco","3","0","3","18","35","-17"
"Mixed 2. Liga Beach","Round Robin 5-8","1","Saxy Divers","3","3","0","38","21","17"
"Mixed 2. Liga Beach","Round Robin 5-8","2","Torpedo Phoenix","3","2","1","33","23","10"
"Mixed 2. Liga Beach","Round Robin 5-8","3","Drehst'n Deckel","3","1","2","20","34","-14"
"Mixed 2. Liga Beach","Round Robin 5-8","4","Rotor Ultimate Berlin","3","0","3","20","33","-13"
"Mixed 3. Liga Beach","Round Robin","1","Parkscheibe","3","3","0","36","13","23"
"Mixed 3. Liga Beach","Round Robin","2","Bonnsai","3","2","1","26","30","-4"
"Mixed 3. Liga Beach","Round Robin","3","Nullacht! Ultimate Münster","3","1","2","23","28","-5"
"Mixed 3. Liga Beach","Round Robin","4","HS-Ultimate","3","0","3","19","33","-14"
"Mixed 3. Liga Beach","Finale","1","Parkscheibe","1","1","0","12","5","7"
"Mixed 3. Liga Beach","Finale","2","HS-Ultimate","1","0","1","5","12","-7"
"Mixed 3. Liga Beach","Finale","3","Nullacht! Ultimate Münster","1","1","0","11","10","1"
"Mixed 3. Liga Beach","Finale","4","Bonnsai","1","0","1","10","11","-1"
"U20","Pool A","1","Lions","4","4","0","43","29","14"
"U20","Pool A","2","Äitschbees","4","3","1","34","30","4"
"U20","Pool A","3","Nullacht! Ultimate Münster","4","2","2","36","33","3"
"U20","Pool A","4","Seans's Sheep","4","1","3","30","38","-8"
"U20","Pool A","5","UFO","4","0","4","26","39","-13"
"U20","Pool B","1","Disckick","4","4","0","48","30","18"
"U20","Pool B","2","IsarRunners","4","3","1","45","26","19"
"U20","Pool B","3","TV Südkamen","4","2","2","29","38","-9"
"U20","Pool B","4","Pizza Volante","4","1","3","26","43","-17"
"U20","Pool B","5","Cologne Colibris","4","0","4","31","42","-11"
"U20","Crossover","1","Äitschbees","1","1","0","8","5","3"
"U20","Crossover","2","TV Südkamen","1","0","1","5","8","-3"
"U20","Crossover","3","IsarRunners","1","1","0","12","6","6"
"U20","Crossover","4","Nullacht! Ultimate Münster","1","0","1","6","12","-6"
"U20","Crossover","5","Seans's Sheep","1","1","0","13","4","9"
"U20","Crossover","6","Cologne Colibris","1","0","1","4","13","-9"
"U20","Crossover","7","UFO","1","1","0","10","3","7"
"U20","Crossover","8","Pizza Volante","1","0","1","3","10","-7"
"U20","Finale 1-4","1","Lions","1","1","0","9","7","2"
"U20","Finale 1-4","2","IsarRunners","1","0","1","7","9","-2"
"U20","Finale 1-4","3","Disckick","1","1","0","8","6","2"
"U20","Finale 1-4","4","Äitschbees","1","0","1","6","8","-2"
"U20","Finale 5-8","1","TV Südkamen","1","1","0","10","6","4"
"U20","Finale 5-8","2","Seans's Sheep","1","0","1","6","10","-4"
"U20","Finale 5-8","3","UFO","1","1","0","11","10","1"
"U20","Finale 5-8","4","Nullacht! Ultimate Münster","1","0","1","10","11","-1"
