"Time","HomeSchedulingName","AwaySchedulingName","HomeTeam","AwayTeam","HomeScores","VisitorScores","Pool","Division","Field","ReservationGroup","Place","GameName"
"2021-09-04 15:40:00",,,"Colorado 2","Heidees","11","15","Pool A","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 17:20:00",,,"Flying Igels","Hechte","15","7","Pool B","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 10:40:00",,,"Hechte","Disconnection 2","13","14","Pool B","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 14:00:00",,,"Heidees TVE","Hechte","15","4","Pool B","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 17:20:00",,,"Disconnection 2","Heidees TVE","1","15","Pool B","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 09:00:00",,,"Seed #2","Seed #7",,,"Pool B","DMO21_7er","1","X7","Münster",
"2021-09-04 10:40:00",,,"Seed #5","Seed #1",,,"Pool A","DMO21_7er","1","X7","Münster",
"2021-09-04 12:20:00",,,"Seed #6","Seed #2",,,"Pool B","DMO21_7er","1","X7","Münster",
"2021-09-04 14:00:00",,,"Seed #1","Seed #4",,,"Pool A","DMO21_7er","1","X7","Münster",
"2021-09-04 15:40:00",,,"Seed #2","Seed #3",,,"Pool B","DMO21_7er","1","X7","Münster",
"2021-09-04 17:20:00",,,"Seed #4","Seed #5",,,"Pool A","DMO21_7er","1","X7","Münster",
"2021-09-04 09:00:00",,,"Seed #3","Seed #6",,,"Pool B","DMO21_7er","2","X7","Münster",
"2021-09-04 12:20:00",,,"Seed #7","Seed #3",,,"Pool B","DMO21_7er","2","X7","Münster",
"2021-09-04 15:40:00",,,"Seed #6","Seed #7",,,"Pool B","DMO21_7er","2","X7","Münster",
"2021-09-04 09:00:00",,,"Colorado","Sturmflut","15","12","Pool A","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 10:40:00",,,"Mainzelrenner","Die 7 Todsünden","15","13","Pool B","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 12:20:00",,,"Disconnection","Colorado","15","13","Pool A","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 14:00:00",,,"Sugar Mix","Mainzelrenner","15","12","Pool B","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 15:40:00",,,"Colorado","Hässliche Erdferkel","14","15","Pool A","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 17:20:00",,,"Mainzelrenner","Ars Ludendi","11","15","Pool B","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 09:00:00",,,"Hässliche Erdferkel","Disconnection","14","12","Pool A","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-04 10:40:00",,,"Ars Ludendi","Sugar Mix","8","15","Pool B","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-04 12:20:00",,,"Sturmflut","Hässliche Erdferkel","13","15","Pool A","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-04 14:00:00",,,"Die 7 Todsünden","Ars Ludendi","12","15","Pool B","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-04 15:40:00",,,"Disconnection","Sturmflut","15","8","Pool A","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-04 17:20:00",,,"Sugar Mix","Die 7 Todsünden","15","12","Pool B","Mixed 1. Liga 1-8","2","X8","Paderborn",
"2021-09-04 10:00:00",,,"Munich Mules","Friss die Frisbee","10","15","Pool A","Mixed 3. Liga SO","1","mixed3so","ESV München",
"2021-09-04 12:30:00",,,"Friss die Frisbee","Ratisbona Eagles","15","8","Pool A","Mixed 3. Liga SO","1","mixed3so","ESV München",
"2021-09-04 15:00:00",,,"Ratisbona Eagles","Munich Mules","15","12","Pool A","Mixed 3. Liga SO","1","mixed3so","ESV München",
"2021-09-04 11:00:00",,,"Frizzly Bears 2","Bonobos","10","15","Pool A","Mixed 2. Liga Nord","1","mixed2n","Aachen",
"2021-09-04 13:30:00",,,"Bonobos","Frisbee Family","15","14","Pool A","Mixed 2. Liga Nord","1","mixed2n","Aachen",
"2021-09-04 16:00:00",,,"Frizzly Bears","Göttinger 7","15","8","Pool A","Mixed 2. Liga Nord","1","mixed2n","Aachen",
"2021-09-04 11:00:00",,,"Frisbee Family","Frizzly Bears","13","15","Pool A","Mixed 2. Liga Nord","2","mixed2n","Aachen",
"2021-09-04 13:30:00",,,"Frizzly Bears 2","Göttinger 7","15","9","Pool A","Mixed 2. Liga Nord","2","mixed2n","Aachen",
"2021-09-04 16:00:00",,,"Frisbee Family","Frizzly Bears 2","14","15","Pool A","Mixed 2. Liga Nord","2","mixed2n","Aachen",
"2021-09-04 11:00:00",,,"Zamperl","FT Ultimate Würzburg","15","12","Pool A","Mixed 2. Liga Süd","1","mixed2s","Dürmentingen",
"2021-09-04 13:30:00",,,"ULMtimates","Zamperl","3","15","Pool A","Mixed 2. Liga Süd","1","mixed2s","Dürmentingen",
"2021-09-04 16:00:00",,,"Tiefseetaucher","MINT","15","6","Pool A","Mixed 2. Liga Süd","1","mixed2s","Dürmentingen",
"2021-09-04 11:00:00",,,"MINT","ULMtimates","15","5","Pool A","Mixed 2. Liga Süd","2","mixed2s","Dürmentingen",
"2021-09-04 13:30:00",,,"FT Ultimate Würzburg","Tiefseetaucher","15","11","Pool A","Mixed 2. Liga Süd","2","mixed2s","Dürmentingen",
"2021-09-04 16:00:00",,,"FT Ultimate Würzburg","ULMtimates","15","6","Pool A","Mixed 2. Liga Süd","2","mixed2s","Dürmentingen",
"2021-09-04 11:00:00",,,"Torpedo Phoenix","Bonnsai","15","11","Pool A","Mixed 3. Liga NW","1","mixed3nw","Dortmund",
"2021-09-04 13:30:00",,,"Bonnsai","Hamburg Alsters","15","9","Pool A","Mixed 3. Liga NW","1","mixed3nw","Dortmund",
"2021-09-04 16:00:00",,,"Du bis Frisbee","Ultimate Lions Essen","15","5","Pool A","Mixed 3. Liga NW","1","mixed3nw","Dortmund",
"2021-09-04 11:00:00",,,"Hamburg Alsters","Du bis Frisbee","15","10","Pool A","Mixed 3. Liga NW","2","mixed3nw","Dortmund",
"2021-09-04 13:30:00",,,"Torpedo Phoenix","Ultimate Lions Essen","14","10","Pool A","Mixed 3. Liga NW","2","mixed3nw","Dortmund",
"2021-09-04 16:00:00",,,"Hamburg Alsters","Torpedo Phoenix","13","15","Pool A","Mixed 3. Liga NW","2","mixed3nw","Dortmund",
"2021-09-04 11:00:00",,,"Windhosen ","Farmers Lüneburg","4","15","Pool A","Mixed 4. Liga NW","1","mixed4nw","Wilhelmshaven",
"2021-09-04 13:30:00",,,"Farmers Lüneburg","Caracals","1","15","Pool A","Mixed 4. Liga NW","1","mixed4nw","Wilhelmshaven",
"2021-09-04 16:00:00",,,"Nullacht! Ultimate Münster","Windhosen ","15","2","Pool A","Mixed 4. Liga NW","1","mixed4nw","Wilhelmshaven",
"2021-09-04 11:00:00",,,"Nullacht! Ultimate Münster","Sunblocker Oldenburg","15","5","Pool A","Mixed 4. Liga NW","2","mixed4nw","Wilhelmshaven",
"2021-09-04 13:30:00",,,"Sunblocker Oldenburg","Windhosen ","14","9","Pool A","Mixed 4. Liga NW","2","mixed4nw","Wilhelmshaven",
"2021-09-04 16:00:00",,,"Caracals","Sunblocker Oldenburg","15","3","Pool A","Mixed 4. Liga NW","2","mixed4nw","Wilhelmshaven",
"2021-09-04 11:00:00",,,"Seed #5","Seed #1",,,"Pool A","DMO21_5er","1","X5","Wilhelmshaven",
"2021-09-04 13:30:00",,,"Seed #1","Seed #4",,,"Pool A","DMO21_5er","1","X5","Wilhelmshaven",
