"Time","HomeSchedulingName","AwaySchedulingName","HomeTeam","AwayTeam","HomeScores","VisitorScores","Pool","Division","Field","ReservationGroup","Place","GameName"
"2019-04-27 11:00:00",,,"Heidees","Family Ultimate","15","12","Round Robin","Open Masters","1","masters","Duisburg",
"2019-04-27 13:30:00",,,"Heidees","Sugar Daddies","15","8","Round Robin","Open Masters","1","masters","Duisburg",
"2019-04-27 16:00:00",,,"Frühsport 0,2","Sugar Daddies","11","15","Round Robin","Open Masters","1","masters","Duisburg",
"2019-04-27 11:00:00",,,"Goldfingers","Frühsport 0,2","15","8","Round Robin","Open Masters","2","masters","Duisburg",
"2019-04-27 13:30:00",,,"Family Ultimate","Goldfingers","5","15","Round Robin","Open Masters","2","masters","Duisburg",
"2019-04-27 16:00:00",,,"Goldfingers","Heidees","15","10","Round Robin","Open Masters","2","masters","Duisburg",
"2019-04-28 09:00:00",,,"Sugar Daddies","Goldfingers","7","15","Round Robin","Open Masters","1","masters","Duisburg",
"2019-04-28 11:30:00",,,"Sugar Daddies","Family Ultimate","15","6","Round Robin","Open Masters","1","masters","Duisburg",
"2019-04-28 14:00:00","Round Robin 1","Round Robin 2","Goldfingers","Heidees","15","11","Finale","Open Masters","1","masters","Duisburg",
"2019-04-28 09:00:00",,,"Family Ultimate","Frühsport 0,2","15","14","Round Robin","Open Masters","2","masters","Duisburg",
"2019-04-28 11:30:00",,,"Frühsport 0,2","Heidees","12","15","Round Robin","Open Masters","2","masters","Duisburg",
"2019-05-18 11:00:00",,,"TeKielas","Wolpertinger GM","7","15","Round Robin","Open Grandmasters","1","grandmasters","DJK BFC Concordia, Ziegelstein",
"2019-05-18 13:30:00",,,"Wegwerfgesellschaft","Wolpertinger GM","6","15","Round Robin","Open Grandmasters","1","grandmasters","DJK BFC Concordia, Ziegelstein",
"2019-05-18 16:00:00",,,"Wegwerfgesellschaft","Feldrentner","10","15","Round Robin","Open Grandmasters","1","grandmasters","DJK BFC Concordia, Ziegelstein",
"2019-05-18 11:00:00",,,"Feldrentner","NextGen Nürnberg","15","10","Round Robin","Open Grandmasters","2","grandmasters","DJK BFC Concordia, Ziegelstein",
"2019-05-18 13:30:00",,,"NextGen Nürnberg","TeKielas","15","7","Round Robin","Open Grandmasters","2","grandmasters","DJK BFC Concordia, Ziegelstein",
"2019-05-18 16:00:00",,,"Wolpertinger GM","NextGen Nürnberg","15","14","Round Robin","Open Grandmasters","2","grandmasters","DJK BFC Concordia, Ziegelstein",
"2019-05-18 09:00:00",,,"Heppie Frisbeez","Piratos","11","1","Round Robin","U14 Quali SW","U14","Quali SW","MTV Karlsruhe",
